Alias|Command
-----|-------
mvn!|mvn -f <root>/pom.xml
mvnag|mvn archetype:generate
mvnboot|mvn spring-boot:run
mvnqdev|mvn quarkus:dev
mvnc|mvn clean
mvncd|mvn clean deploy
mvnce|mvn clean eclipse:clean eclipse:eclipse
mvnci|mvn clean install
mvncie|mvn clean install eclipse:eclipse
mvncini|mvn clean initialize
mvncist|mvn clean install -DskipTests
mvncisto|mvn clean install -DskipTests --offline
mvncom|mvn compile
mvncp|mvn clean package
mvnct|mvn clean test
mvncv|mvn clean verify
mvncvst|mvn clean verify -DskipTests
mvnd|mvn deploy
mvndocs|mvn dependency:resolve -Dclassifier=javadoc
mvndt|mvn dependency:tree
mvne|mvn eclipse:eclipse
mvnfmt|mvn fmt:format
mvnjetty|mvn jetty:run
mvnp|mvn package
mvns|mvn site
mvnsrc|mvn dependency:sources
mvnt|mvn test
mvntc|mvn tomcat:run
mvntc7|mvn tomcat7:run
mvnv|mvn -version
mvn-updates|mvn versions:display-dependency-updates